creditcard_num,creditcard_owner
1111111111111111,georgep
1111111111111110,georgep
1111111111111100,georgep
1111111111111000,georgep
1111111111110000,georgep
1111111111100000,calcwizard
1111111111000000,calcultron
1111111110000000,calcultron2
1111111100000000,calcultron2
1111110000000000,imready
1111100000000000,isthisthekrustykrab
1111000000000000,isthisthekrustykrab
1110000000000000,isthisthekrustykrab
1100000000000000,fullMetal
1000000000000000,notFullMetal
9000000000000000,ilikemoney$$
2222222222222222,ilikemoney$$
2222222222222220,ilikemoney$$
2222222222222200,eeqmcsquare
2222222222222000,theScienceGuy
2222222222220000,entropyRox
2222222222200000,entropyRox
2222222222000000,cool_class4400
2222222220000000,thePiGuy3.14
2222222200000000,does2Much
2222222000000000,programerAAL
2220000000000000,DNAhelix
3333333333333300,RitzLover28
